micros,ax,ay,az,gx,gy,gz
432000,-3324,-5320,15000,-2712,171,-13663
434000,-3268,-5296,14924,-2770,190,-13570
436000,-3276,-5300,15004,-2823,214,-13499
438000,-3244,-5208,14924,-2916,214,-13401
440000,-3084,-5128,14936,-2973,150,-13245
442000,-2976,-5144,15000,-2999,106,-13118
444000,-2952,-5156,14980,-3013,29,-12986
446000,-2792,-5068,15012,-2954,-4,-12821
448000,-2756,-5128,15032,-2948,-72,-12667
450000,-2640,-5124,15080,-2904,-157,-12469
452000,-2652,-5056,14980,-2886,-260,-12213
454000,-2600,-5064,15000,-2745,-313,-12008
456000,-2524,-5092,15036,-2716,-400,-11750
458000,-2512,-5112,14988,-2623,-505,-11455
460000,-2540,-5180,14872,-2513,-595,-11151
462000,-2528,-5220,14832,-2444,-684,-10877
464000,-2496,-5236,14964,-2299,-823,-10511
466000,-2588,-5200,14904,-2222,-907,-10189
468004,-2540,-5192,14908,-2154,-989,-9848
470000,-2584,-5248,14856,-2042,-1099,-9537
472000,-2488,-5240,14892,-1972,-1224,-9228
474000,-2452,-5308,15056,-1849,-1298,-8933
476000,-2428,-5220,15092,-1758,-1509,-8580
478000,-2380,-5384,15152,-1700,-1584,-8284
480000,-2284,-5340,15092,-1608,-1695,-8029
482000,-2316,-5352,15220,-1543,-1813,-7756
484000,-2276,-5424,15180,-1492,-1854,-7532
486000,-2240,-5432,15224,-1475,-1884,-7367
488000,-2256,-5436,15180,-1444,-1908,-7184
490000,-2380,-5592,15044,-1406,-1964,-7042
492000,-2412,-5660,15080,-1396,-1917,-6848
494000,-2404,-5596,14948,-1390,-1891,-6714
496000,-2396,-5616,15084,-1388,-1875,-6563
498000,-2424,-5612,14888,-1436,-1825,-6459
500000,-2488,-5712,15008,-1446,-1796,-6293
502000,-2516,-5760,14964,-1461,-1769,-6206
504000,-2536,-5652,15012,-1529,-1708,-6090
506000,-2516,-5704,15044,-1579,-1654,-5969
508000,-2532,-5740,15192,-1635,-1617,-5831
510000,-2608,-5708,15084,-1623,-1619,-5752
512000,-2480,-5812,15176,-1701,-1650,-5639
514000,-2340,-5780,15192,-1747,-1624,-5536
516004,-2324,-5852,15416,-1820,-1724,-5398
518000,-2296,-5700,15172,-1852,-1778,-5307
520004,-2160,-5752,15236,-1914,-1894,-5170
522000,-2112,-5792,15232,-1900,-1928,-5017
524000,-1972,-5704,15204,-1982,-2015,-4900
526000,-1960,-5648,15112,-1949,-2048,-4723
528004,-1876,-5616,14960,-1973,-2101,-4576
530000,-1792,-5592,14956,-2016,-2137,-4366
532000,-1680,-5568,14916,-1987,-2210,-4197
534000,-1544,-5660,14664,-2044,-2246,-4015
536000,-1480,-5592,14564,-1997,-2248,-3877
538000,-1332,-5704,14412,-1952,-2192,-3698
540000,-1280,-5720,14372,-1937,-2111,-3540
542000,-1260,-5864,14380,-1911,-2076,-3394
544000,-1176,-5924,14180,-1903,-2028,-3208
546000,-1132,-6000,14124,-1860,-1932,-3111
548000,-1112,-6092,14132,-1842,-1805,-2961
550000,-1056,-6132,14176,-1767,-1727,-2839
552000,-988,-6148,14072,-1757,-1582,-2739
554000,-1040,-6216,14044,-1748,-1455,-2640
556000,-976,-6304,13912,-1701,-1301,-2556
558000,-1076,-6432,13960,-1685,-1101,-2402
560000,-1104,-6404,14080,-1662,-1016,-2281
562004,-1168,-6520,14132,-1664,-935,-2173
564000,-1268,-6552,14192,-1617,-873,-2071
566000,-1232,-6596,14164,-1589,-805,-1963
568000,-1348,-6540,14284,-1568,-770,-1861
570000,-1316,-6528,14152,-1523,-742,-1805
572000,-1284,-6608,14324,-1515,-696,-1686
574000,-1268,-6564,14364,-1481,-678,-1614
576000,-1308,-6652,14424,-1409,-687,-1528
578000,-1260,-6664,14460,-1394,-687,-1420
580000,-1252,-6672,14460,-1317,-721,-1307
582000,-1300,-6728,14380,-1302,-786,-1200
584000,-1276,-6728,14464,-1250,-766,-1059
586000,-1348,-6592,14448,-1251,-837,-939
588000,-1324,-6640,14360,-1180,-825,-762
590000,-1372,-6676,14496,-1145,-911,-688
592000,-1380,-6676,14368,-1070,-913,-592
594004,-1408,-6740,14396,-1013,-916,-443
596004,-1444,-6664,14504,-955,-984,-316
598000,-1396,-6732,14536,-853,-1013,-196
600000,-1452,-6816,14540,-814,-1025,-98
602000,-1472,-6888,14692,-743,-1016,-34
604000,-1512,-6960,14744,-707,-1077,101
606000,-1592,-7012,14728,-630,-1102,162
608000,-1624,-7080,14608,-548,-1200,263
610000,-1568,-7200,14632,-490,-1295,351
612000,-1560,-7112,14688,-435,-1275,399
614000,-1544,-7148,14628,-387,-1329,492
616000,-1584,-7072,14460,-334,-1383,541
618000,-1588,-7176,14552,-305,-1376,529
620000,-1636,-7144,14564,-228,-1424,507
622000,-1620,-7120,14468,-182,-1466,518
624000,-1608,-7116,14568,-177,-1457,534
626000,-1608,-7188,14508,-88,-1456,424
628000,-1644,-7208,14416,-76,-1413,349
630000,-1588,-7216,14468,-9,-1335,269
632000,-1684,-7164,14392,23,-1219,115
634000,-1664,-7120,14452,54,-1084,29
636000,-1712,-7128,14420,73,-967,-118
638000,-1728,-7112,14600,76,-894,-240
640000,-1776,-7032,14632,15,-813,-410
642000,-1788,-6884,14572,12,-684,-581
644000,-1760,-6904,14464,11,-596,-715
646000,-1772,-6736,14548,-36,-483,-858
648004,-1856,-6692,14660,-57,-354,-1012
650000,-1748,-6736,14704,-154,-298,-1079
652000,-1796,-6660,14616,-220,-179,-1253
654000,-1812,-6704,14792,-252,-94,-1326
656000,-1860,-6712,14788,-311,-136,-1417
658004,-1776,-6712,14840,-346,-157,-1469
660000,-1780,-6704,14772,-441,-160,-1537
662000,-1800,-6704,14680,-491,-149,-1563
664000,-1740,-6664,14692,-583,-185,-1589
666000,-1724,-6692,14660,-626,-193,-1669
668000,-1788,-6616,14648,-665,-254,-1613
670000,-1780,-6668,14628,-682,-232,-1680
672000,-1804,-6692,14768,-695,-243,-1691
674000,-1804,-6780,14772,-715,-208,-1677
676000,-1860,-6776,14788,-754,-192,-1667
678000,-1868,-6760,14820,-757,-194,-1644
680004,-1960,-6728,14760,-718,-213,-1662
682000,-1972,-6792,14760,-717,-137,-1650
684000,-2036,-6800,14632,-748,-127,-1639
686000,-2024,-6968,14800,-758,-138,-1637
688000,-2000,-6916,14728,-739,-124,-1606
