micros,ax,ay,az,gx,gy,gz
1282000,-896,724,16584,98,-315,-39
1284000,-872,696,16716,110,-281,-13
1286000,-928,728,16648,103,-280,10
1288000,-964,692,16568,119,-280,8
1290000,-848,700,16532,110,-303,-6
1292000,-876,712,16596,122,-278,-39
1294000,-896,716,16572,111,-275,-40
1296000,-900,712,16616,135,-306,-15
1298000,-904,752,16580,124,-274,-16
1300000,-932,732,16608,84,-299,-20
1302000,-1004,712,16636,116,-295,-8
1304000,-956,676,16664,121,-324,-15
1306004,-944,660,16608,122,-282,-20
1308000,-976,672,16640,135,-273,-13
1310000,-972,592,16628,117,-331,8
1312000,-920,740,16644,123,-299,-19
1314000,-904,708,16680,123,-274,-26
1316000,-976,688,16740,103,-269,-39
1318000,-928,632,16656,85,-266,-18
1320000,-920,656,16716,116,-289,-33
1322000,-912,704,16644,107,-301,-26
1324000,-988,688,16628,80,-295,-14
1326000,-980,692,16744,135,-273,-43
1328000,-884,708,16684,95,-275,-17
1330000,-916,740,16732,143,-238,-15
1332000,-900,692,16604,117,-306,-3
1334000,-936,736,16720,108,-291,-23
1336000,-976,780,16696,107,-272,-19
1338000,-904,744,16572,92,-294,14
1340004,-892,732,16688,121,-295,-17
1342000,-916,684,16652,130,-274,-18
1344000,-940,728,16564,101,-292,13
1346000,-880,680,16556,112,-328,0
1348000,-928,716,16632,108,-281,-21
1350000,-980,700,16680,127,-291,-22
1352000,-868,672,16588,92,-290,-53
1354000,-900,676,16580,107,-272,-20
1356000,-908,676,16664,138,-272,-12
1358004,-892,680,16608,89,-277,-27
1360000,-908,720,16644,133,-315,-18
1362000,-968,652,16624,135,-280,-32
1364000,-940,660,16648,98,-270,-16
1366000,-944,716,16644,109,-291,-22
1368000,-960,704,16648,116,-264,-9
1370000,-960,724,16648,102,-274,-6
1372000,-972,728,16592,95,-317,-42
1374000,-952,736,16736,138,-291,-41
1376000,-908,692,16712,97,-290,11
1378000,-924,684,16708,121,-306,-2
1380000,-988,752,16628,130,-287,-21
1382000,-924,736,16604,127,-287,-8
1384000,-976,740,16572,116,-279,-35
1386000,-912,700,16660,126,-305,-31
1388000,-920,708,16584,116,-302,-20
1390000,-900,688,16652,134,-288,-23
1392000,-904,636,16628,127,-303,-10
1394004,-944,704,16552,115,-278,-20
1396000,-904,708,16612,101,-290,-9
1398004,-928,712,16696,118,-274,-42
1400000,-932,704,16584,118,-319,-7
1402000,-964,688,16672,95,-284,-15
1404000,-888,704,16672,133,-266,-16
1406000,-868,728,16576,118,-284,16
1408000,-948,740,16668,99,-281,-34
1410000,-916,760,16696,101,-276,-19
1412000,-884,692,16744,103,-278,-16
1414000,-968,728,16700,115,-290,-16
1416000,-924,740,16728,108,-309,-31
1418000,-884,780,16628,83,-300,3
1420000,-960,684,16576,106,-264,6
1422000,-916,656,16644,126,-291,-6
1424000,-940,732,16736,115,-306,-23
1426004,-864,692,16660,132,-281,-18
1428000,-896,736,16696,123,-287,-46
1430000,-904,668,16740,103,-270,-11
1432000,-932,684,16648,130,-261,-6
1434000,-940,620,16624,106,-274,-31
1436000,-868,644,16680,105,-295,12
1438000,-936,668,16584,115,-291,0
1440000,-864,776,16588,99,-281,-18
1442004,-920,684,16676,116,-263,-35
1444000,-940,760,16680,119,-287,-15
1446000,-936,712,16552,96,-303,-10
1448000,-952,728,16748,110,-282,-24
1450000,-952,636,16700,97,-303,-30
